	degree_all	degree_centrality_all	degree_in	degree_centrality_in	degree_out	degree_centrality_out	betweenness_centrality	eigenvector_centrality	cluster
Mpeg1	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.014374436956887091	aracne_Microglia_B6J
Dgkb	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.04893627245960319	aracne_Microglia_B6J
Hpgd	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.013749560114601996	aracne_Microglia_B6J
Gm10790	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.04611200852426244	aracne_Microglia_B6J
Ctnnd2	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.04091325889479512	aracne_Microglia_B6J
Syt1	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.044389970379813244	aracne_Microglia_B6J
Csmd3	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.03688465029396396	aracne_Microglia_B6J
Grm7	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.04394323400877582	aracne_Microglia_B6J
Slc1a2	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.01398208569726202	aracne_Microglia_B6J
Ctnna2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.043660785799612606	aracne_Microglia_B6J
Mdga2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.04316025363150853	aracne_Microglia_B6J
Lrrtm4	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.013221932633397902	aracne_Microglia_B6J
Arid5b	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.03466317190530207	aracne_Microglia_B6J
Auts2	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.044079092271692676	aracne_Microglia_B6J
Trps1	10	0.06944444444444445	0	0.0	10	0.06944444444444445	0.0	0.036915015363796086	aracne_Microglia_B6J
Psd3	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.011042901757906924	aracne_Microglia_B6J
Nrxn1	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.003758409977699726	aracne_Microglia_B6J
Ntm	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.015062609492161849	aracne_Microglia_B6J
Gmds	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.011720336479702952	aracne_Microglia_B6J
Lhfpl2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.03217246645986367	aracne_Microglia_B6J
Cadm2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.0036155066171040654	aracne_Microglia_B6J
Fgf14	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.03842178581206586	aracne_Microglia_B6J
Eml6	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.011236327579116705	aracne_Microglia_B6J
Plcb1	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.04584649238403744	aracne_Microglia_B6J
Rnf150	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.03914886398657859	aracne_Microglia_B6J
Setbp1	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.014309977414954725	aracne_Microglia_B6J
Prkn	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.010704763035050663	aracne_Microglia_B6J
Kcnq1ot1	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.01067015475272928	aracne_Microglia_B6J
Itsn1	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.0013165444210668383	aracne_Microglia_B6J
Ahcyl2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.010290297711042716	aracne_Microglia_B6J
Kcnq5	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.04516888701847413	aracne_Microglia_B6J
Kcnd2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.03411013029132047	aracne_Microglia_B6J
Rbpj	5	0.034722222222222224	0	0.0	5	0.034722222222222224	0.0	0.004927132878550448	aracne_Microglia_B6J
Myo5a	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.022419020799622737	aracne_Microglia_B6J
Tenm2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.009966366538431866	aracne_Microglia_B6J
Camkmt	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.02652317354785029	aracne_Microglia_B6J
Nkain2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.026434862795657793	aracne_Microglia_B6J
Immp2l	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.009527365810953061	aracne_Microglia_B6J
Slc8a1	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.002914433162423816	aracne_Microglia_B6J
Snhg14	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.009112699652626169	aracne_Microglia_B6J
Alcam	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.030075977153430956	aracne_Microglia_B6J
Mast4	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.024451099864196222	aracne_Microglia_B6J
Csmd1	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.008986444683405526	aracne_Microglia_B6J
Grm5	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.008490997326782617	aracne_Microglia_B6J
Lrrc4c	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.008476887829760872	aracne_Microglia_B6J
Kirrel3	4	0.027777777777777776	4	0.027777777777777776	0	0.0	0.0	0.03989839114703777	aracne_Microglia_B6J
Utrn	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.002652720450923125	aracne_Microglia_B6J
Dgki	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.027490413536241595	aracne_Microglia_B6J
Phlpp1	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.01066195481645986	aracne_Microglia_B6J
F13a1	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.00012800578894598132	aracne_Microglia_B6J
Frrs1	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.0075793682398028195	aracne_Microglia_B6J
Mrc1	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.0001248116638146587	aracne_Microglia_B6J
Atp11c	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.007495970903617292	aracne_Microglia_B6J
Gnao1	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.002286504390326582	aracne_Microglia_B6J
Meis2	6	0.041666666666666664	0	0.0	6	0.041666666666666664	0.0	0.017634326772467387	aracne_Microglia_B6J
Nrg3	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.0022066894878984278	aracne_Microglia_B6J
Grid2	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.009021565260010684	aracne_Microglia_B6J
Slc4a4	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.0020443624843310406	aracne_Microglia_B6J
