	degree_all	degree_centrality_all	degree_in	degree_centrality_in	degree_out	degree_centrality_out	betweenness_centrality	eigenvector_centrality	cluster
Lsamp	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.11288701909697076	aracne_Microglia_B6J
Peak1	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.17680594574838357	aracne_Microglia_B6J
Slc9a9	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.10732890556006139	aracne_Microglia_B6J
Fhit	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.11147882470555756	aracne_Microglia_B6J
2610203C22Rik	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.16449168227559632	aracne_Microglia_B6J
Meg3	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.1206024155150517	aracne_Microglia_B6J
Atxn1	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.08301196328120791	aracne_Microglia_B6J
Cdk8	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.12878792987867688	aracne_Microglia_B6J
Fat3	4	0.027777777777777776	4	0.027777777777777776	0	0.0	0.0	0.19859250362592337	aracne_Microglia_B6J
Acer3	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.09370653336966661	aracne_Microglia_B6J
Nr3c2	28	0.19444444444444445	4	0.027777777777777776	24	0.16666666666666666	248.0	0.2962825227092378	aracne_Microglia_B6J
Srgap2	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.07437029985567885	aracne_Microglia_B6J
P2ry12	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.1284279350595193	aracne_Microglia_B6J
Rbfox1	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.1172358247424001	aracne_Microglia_B6J
Pbx1	31	0.2152777777777778	2	0.013888888888888888	29	0.2013888888888889	198.0	0.30999102377819227	aracne_Microglia_B6J
Dlg2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.08710953514133885	aracne_Microglia_B6J
Whrn	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.08698734547783368	aracne_Microglia_B6J
Cacnb2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.08414802807334937	aracne_Microglia_B6J
Lrmda	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.12334823393417428	aracne_Microglia_B6J
8030442B05Rik	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.0767766174937228	aracne_Microglia_B6J
Phactr1	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.09151237509925927	aracne_Microglia_B6J
Cdk14	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.07627692382720024	aracne_Microglia_B6J
Stab1	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.11567812400552918	aracne_Microglia_B6J
Phactr2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.07362324371925644	aracne_Microglia_B6J
Kmt2d	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.022366600626320007	aracne_Microglia_B6J
Rbbp6	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.07252671436891452	aracne_Microglia_B6J
Pvt1	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.08920237623707018	aracne_Microglia_B6J
Nlgn1	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.061159181345512084	aracne_Microglia_B6J
Wwox	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.06908675950253021	aracne_Microglia_B6J
Slc12a2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.06905769111333337	aracne_Microglia_B6J
Opcml	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.07971349218983634	aracne_Microglia_B6J
Ppm1l	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.0684699888145676	aracne_Microglia_B6J
Lars2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.06492115312467771	aracne_Microglia_B6J
Cask	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.06014161464907612	aracne_Microglia_B6J
Gm47283	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.01815111317392597	aracne_Microglia_B6J
Kcnma1	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.06081632242277907	aracne_Microglia_B6J
Rcbtb2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.0570452014050176	aracne_Microglia_B6J
Prpf38b	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.016487486521441556	aracne_Microglia_B6J
Rtn1	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.05469190519558874	aracne_Microglia_B6J
Bbs9	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.020704028490552303	aracne_Microglia_B6J
Ext1	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.028566162581562308	aracne_Microglia_B6J
Lrp1b	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.052058237841992934	aracne_Microglia_B6J
Rora	28	0.19444444444444445	1	0.006944444444444444	27	0.1875	58.0	0.09281191923880984	aracne_Microglia_B6J
Nol4l	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.015773178085432486	aracne_Microglia_B6J
Lcorl	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.014996292622134064	aracne_Microglia_B6J
Pde4b	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.041295064259472866	aracne_Microglia_B6J
Mthfs	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.050001599463427714	aracne_Microglia_B6J
Hivep2	3	0.020833333333333332	1	0.006944444444444444	2	0.013888888888888888	6.0	0.021701569484079083	aracne_Microglia_B6J
Mlxipl	3	0.020833333333333332	0	0.0	3	0.020833333333333332	0.0	0.00453146364768988	aracne_Microglia_B6J
Arhgef40	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.0002210032542209657	aracne_Microglia_B6J
Slc16a7	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.04850509969062508	aracne_Microglia_B6J
Eps15	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.04795055113691882	aracne_Microglia_B6J
Pcdh9	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.039077955093166	aracne_Microglia_B6J
Slf2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.03866323488299653	aracne_Microglia_B6J
Magi2	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.05815587424647449	aracne_Microglia_B6J
Mpeg1	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.014374436956887095	aracne_Microglia_B6J
Dgkb	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.048936272459603226	aracne_Microglia_B6J
Hpgd	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.013749560114602002	aracne_Microglia_B6J
Gm10790	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.04611200852426252	aracne_Microglia_B6J
Ctnnd2	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.040913258894795156	aracne_Microglia_B6J
Syt1	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.044389970379813265	aracne_Microglia_B6J
Csmd3	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.03688465029396398	aracne_Microglia_B6J
Grm7	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.043943234008775874	aracne_Microglia_B6J
Slc1a2	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.013982085697262014	aracne_Microglia_B6J
Ctnna2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.043660785799612654	aracne_Microglia_B6J
Mdga2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.04316025363150858	aracne_Microglia_B6J
Lrrtm4	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.013221932633397928	aracne_Microglia_B6J
Arid5b	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.03466317190530206	aracne_Microglia_B6J
Auts2	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.044079092271692745	aracne_Microglia_B6J
Trps1	10	0.06944444444444445	0	0.0	10	0.06944444444444445	0.0	0.03691501536379609	aracne_Microglia_B6J
Psd3	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.011042901757906926	aracne_Microglia_B6J
Nrxn1	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.003758409977699726	aracne_Microglia_B6J
Ntm	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.015062609492161845	aracne_Microglia_B6J
Gmds	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.011720336479702958	aracne_Microglia_B6J
Lhfpl2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.03217246645986371	aracne_Microglia_B6J
Cadm2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.0036155066171040676	aracne_Microglia_B6J
Fgf14	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.03842178581206591	aracne_Microglia_B6J
Eml6	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.01123632757911671	aracne_Microglia_B6J
Plcb1	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.04584649238403749	aracne_Microglia_B6J
Rnf150	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.03914886398657862	aracne_Microglia_B6J
Setbp1	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.014309977414954727	aracne_Microglia_B6J
Prkn	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.010704763035050666	aracne_Microglia_B6J
Kcnq1ot1	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.01067015475272928	aracne_Microglia_B6J
Itsn1	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.0013165444210668392	aracne_Microglia_B6J
Ahcyl2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.01029029771104272	aracne_Microglia_B6J
Kcnq5	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.04516888701847418	aracne_Microglia_B6J
Kcnd2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.034110130291320505	aracne_Microglia_B6J
Rbpj	5	0.034722222222222224	0	0.0	5	0.034722222222222224	0.0	0.004927132878550448	aracne_Microglia_B6J
Myo5a	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.02241902079962275	aracne_Microglia_B6J
Tenm2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.009966366538431871	aracne_Microglia_B6J
Camkmt	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.026523173547850318	aracne_Microglia_B6J
Nkain2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.026434862795657824	aracne_Microglia_B6J
Immp2l	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.00952736581095306	aracne_Microglia_B6J
Slc8a1	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.0029144331624238193	aracne_Microglia_B6J
Snhg14	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.009112699652626175	aracne_Microglia_B6J
Alcam	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.030075977153431	aracne_Microglia_B6J
Mast4	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.02445109986419625	aracne_Microglia_B6J
Csmd1	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.008986444683405538	aracne_Microglia_B6J
Grm5	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.008490997326782618	aracne_Microglia_B6J
Lrrc4c	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.008476887829760868	aracne_Microglia_B6J
Kirrel3	4	0.027777777777777776	4	0.027777777777777776	0	0.0	0.0	0.03989839114703781	aracne_Microglia_B6J
Utrn	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.0026527204509231256	aracne_Microglia_B6J
Dgki	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.02749041353624161	aracne_Microglia_B6J
Phlpp1	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.010661954816459868	aracne_Microglia_B6J
F13a1	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.00012800578894598134	aracne_Microglia_B6J
Frrs1	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.0075793682398028195	aracne_Microglia_B6J
Mrc1	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.0001248116638146587	aracne_Microglia_B6J
